block,condition,seed,variant,degree,optimizer,denoise,n_days_train,rollout_horizons,regen_id,config_hash,git_sha,image,nonzero,kappa,rollout_rmse_t_in,diverged_frac,one_step_rmse_t_in,sign_pass,embeddable,secs
ladder,raw/d1/stlsq/none,0,raw,1,stlsq,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,18,8.252602941489371,2.383860504929605,0.0,1.84414964052192,,True,5.6
ladder,raw/d1/stlsq/savgol,0,raw,1,stlsq,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,9.160797868556712,5.762135332062457,0.0,3.0243782536877073,,True,2.6
ladder,raw/d1/stlsq/kalman,0,raw,1,stlsq,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,7.851341862710691,5.974681188940015,0.0,3.026896713813973,,True,3.5
ladder,raw/d1/sr3/none,0,raw,1,sr3,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,6,8.252602941489371,3.9993387740733044,0.0,2.3499621523248098,,True,2.6
ladder,raw/d1/sr3/savgol,0,raw,1,sr3,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,9.160797868556712,5.07046774781299,0.0,3.0104511070204762,,True,2.7
ladder,raw/d1/sr3/kalman,0,raw,1,sr3,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,7.851341862710691,6.42650538081407,0.0,3.0311380370146024,,True,3.3
ladder,raw/d1/constrained/none,0,raw,1,constrained,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,6,8.252602941489371,3.9993387740733044,0.0,2.3499621523248098,,True,2.7
ladder,raw/d1/constrained/savgol,0,raw,1,constrained,savgol,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,9.160797868556712,5.07046774781299,0.0,3.0104511070204762,,True,2.7
ladder,raw/d1/constrained/kalman,0,raw,1,constrained,kalman,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,3,7.851341862710691,6.42650538081407,0.0,3.0311380370146024,,True,3.3
ladder,raw/d1/ensemble/none,0,raw,1,ensemble,none,60,"4,20,96",regen-v2,637c6b535a9e,3d92478,local,18,8.252602941489371,2.3814352890101973,0.0,1.8441725423591002,,True,3.2
