steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,solver_aborted,stop_reason,block,condition,method,draw,seed,test_year,xi_uboil,n_draws_declared,secs,regen_id,config_hash,git_sha,image
5760,-1.0034223616437696,11.840841253424783,12.844263615068552,4.6377789912022,2.1312742744859827,6.075210349380369,481034.1759203818,51.530877680024446,20.25070116460123,7.104247581619942,51.423611111111114,2798,4434.314552307129,100.0,0,0.0,60.954861111111114,2249,5057.8733558654785,5047,1585.5654669671776,698.300040192719,1578.721684919151,1550.2527805776062,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d0,sindy_mpc_conf,0,3,2020,0.0,6,59.9,regen-v2,637c6b535a9e,56e40ca,local
5760,-3.4948531663286664,7.936229053758366,11.431082220087031,6.434737513638263,1.7359932325072647,3.2603514739415047,322409.3053089336,71.49708348486959,10.867838246471683,5.7866441083575495,56.57986111111111,2501,4177.253734588623,99.18402777777777,47,32902.27062988281,50.97222222222222,2824,5449.135307312012,5372,2199.9102615932807,374.7530431021256,1285.9209130740196,1449.810403021792,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d0,sindy_mpc_conf,0,3,2021,0.0,6,113.6,regen-v2,637c6b535a9e,56e40ca,local
5760,-2.6650072704097587,10.356317798604088,13.021325069013846,5.236107982856798,2.027754138937963,5.757462947219084,420725.41056829103,58.17897758729776,19.191543157396946,6.759180463126544,57.13541666666667,2469,4907.167139530182,96.90972222222223,178,119714.21569824219,59.67013888888889,2323,4961.819610595703,4970,1790.1223868149384,661.7773502608667,1502.0401025780957,1349.1241927801643,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d0,sindy_mpc_conf,0,3,2022,0.0,6,169.7,regen-v2,637c6b535a9e,56e40ca,local
5760,-2.287197835882934,8.157344119172015,10.444541955054948,5.200309075830001,2.165891373856486,3.0783415053684617,331392.1048413631,57.78121195366668,10.261138351228206,7.219637912854954,55.65972222222222,2554,3345.96528339386,100.0,0,0.0,49.166666666666664,2928,4965.99320602417,5482,1777.8834443680944,353.8323569083963,1604.3639809774998,1788.2767948046671,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d0,sindy_mpc_conf,0,3,2023,0.0,6,222.3,regen-v2,637c6b535a9e,56e40ca,local
5760,-0.0751892862653416,12.730826080791449,12.80601536705679,4.707351415271532,2.1843761464976557,5.914287805287602,517189.8095321526,52.303904614128136,19.71429268429201,7.2812538216588525,50.24305555555556,2866,4398.767486572266,100.0,0,0.0,64.6875,2034,4567.969207763672,4900,1609.3509113050645,679.8031958940114,1618.0564048569029,1519.8672434798245,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d1,sindy_mpc_conf,1,3,2020,0.0,6,55.6,regen-v2,637c6b535a9e,56e40ca,local
5760,-3.641191857710166,7.925352859501123,11.566544717211288,6.62255811901737,1.778459959206074,3.1655266389878465,321967.45991723315,73.583979100193,10.551755463292823,5.928199864020247,56.56250000000001,2502,4018.8423891067505,99.30555555555556,40,34598.09997558594,54.114583333333336,2643,4623.508102416992,5185,2264.1224323137453,363.853636568943,1317.3777477129502,1446.5702283659134,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d1,sindy_mpc_conf,1,3,2021,0.0,6,108.4,regen-v2,637c6b535a9e,56e40ca,local
5760,-2.775281212604547,10.347114895466504,13.122396108071051,5.407235436456235,2.0608703007549902,5.654290370859826,420351.54262832674,60.08039373840261,18.847634569532755,6.869567669183301,57.013888888888886,2476,4681.588347434998,96.89236111111111,179,116828.91235351562,63.28125,2115,4461.370594024658,4770,1848.6274988204716,649.9184335049032,1526.5705924568276,1334.7432489736984,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d1,sindy_mpc_conf,1,3,2022,0.0,6,164.2,regen-v2,637c6b535a9e,56e40ca,local
5760,-0.9337028638976879,9.599319229619056,10.533022093516744,5.32878059564662,2.290132893159911,2.9141086047102123,389972.34370327415,59.20867328496245,9.713695349034042,7.633776310533038,54.670138888888886,2611,3314.5205602645874,100.0,0,0.0,54.079861111111114,2645,4273.765174865723,5256,1821.8053315150141,334.95501205132314,1696.394735058816,1765.2450769773864,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d1,sindy_mpc_conf,1,3,2023,0.0,6,216.6,regen-v2,637c6b535a9e,56e40ca,local
5760,-2.5708698412977493,11.303721026152239,13.87459086744999,4.2663665737800915,4.349997333565991,5.258226960103908,459213.6666874348,47.404073042001016,17.527423200346362,14.499991111886636,47.10069444444444,3047,6039.321481704712,74.51388888888889,1468,1935384.2666015625,57.36111111111111,2456,5001.307441711426,6971,1458.5868612853756,604.3939036289742,3222.22024630314,1511.070536539286,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d2,sindy_mpc_conf,2,3,2020,0.0,6,56.6,regen-v2,637c6b535a9e,56e40ca,local
5760,-6.363349659138482,7.48141953546825,13.84476919460673,5.855532334354553,4.977132559620801,3.012104300631377,303932.66862839763,65.06147038171726,10.040347668771258,16.59044186540267,51.45833333333333,2796,6089.744804620743,58.78472222222222,2374,3050831.202270508,38.10763888888889,3565,6311.4101638793945,8735,2001.891396067836,346.21888514597714,3686.7648604031115,1398.6939816493887,0,5760,1.0,False,False,complete,draws,sindy_mpc_conf/d2,sindy_mpc_conf,2,3,2021,0.0,6,114.4,regen-v2,637c6b535a9e,56e40ca,local
