steps,epi,revenue,cost_total,cost_heat,cost_co2,cost_elec,fruit_dm_growth,energy_heat_kwh_m2,energy_elec_kwh_m2,co2_kg_m2,t_in_in_corridor_pct,t_in_violation_steps,t_in_violation_area,co2_in_corridor_pct,co2_violation_steps,co2_violation_area,rh_in_corridor_pct,rh_violation_steps,rh_violation_area,violation_steps_total,boiler_sum,lamp_sum,co2_injection_sum,vent_sum,solver_failures,steps_expected,season_fraction,truncated,solver_aborted,stop_reason,block,test_year,seed,regen_id,config_hash,git_sha,image,temp_setpoint_day,temp_setpoint_night,co2_day,lamp_rad_sum_limit
5760,-1.767386689739217,18.418347755810395,20.18573444554961,7.765826024149661,2.146874192484184,10.273034228915764,748245.3775797972,86.28695582388512,34.24344742971921,7.156247308280614,94.56597222222223,313,519.2511219978333,100.0,0,0.0,56.94444444444444,2480,5613.034412384033,2793,2654.9832553835404,1180.8085321102644,1590.2771800541955,1119.918869051145,0,5760,1.0,False,False,complete,tune_trial0,2018,0,regen-v2,637c6b535a9e,84a6d05,local,,,,
5760,-2.1055535281574036,18.357859112362704,20.46341264052011,7.580615399202026,2.248162710799772,10.63463453051831,745788.026439735,84.22905999113362,35.44878176839437,7.493875702665908,93.71527777777777,362,607.6457767486572,100.0,0,0.0,57.395833333333336,2454,5557.359642028809,2816,2591.6633832330454,1222.3717851492952,1665.3057110057252,1099.9045390573874,0,5760,1.0,False,False,complete,tune_trial0,2019,0,regen-v2,637c6b535a9e,84a6d05,local,,,,
5760,-2.524444745559447,19.083404092294543,21.607848837853993,8.105676987373068,3.2535803759887187,10.248591474492205,775263.2912494659,90.06307763747853,34.161971581640685,10.845267919962396,96.18055555555556,220,393.60823488235474,99.65277777777779,20,685.77587890625,62.98611111111111,2132,4903.2058029174805,2372,2771.171619259957,1177.9990200963334,2410.059537366493,1085.371031002541,0,5760,1.0,False,False,complete,tune_trial1,2018,0,regen-v2,637c6b535a9e,84a6d05,local,18.8794157680462,18.878160079393282,1157.9059287356647,9.91697863688067
5760,-2.9644910158235804,19.023860215149572,21.98835123097315,7.891073514120321,3.476465970414714,10.620811746438118,772844.3212404514,87.6785946013369,35.402705821460394,11.58821990138238,95.06944444444444,284,563.8654942512512,99.72222222222223,16,362.705322265625,64.30555555555556,2056,4915.248275756836,2356,2697.8029080087663,1220.782959188994,2575.159976375957,1052.1261403670205,0,5760,1.0,False,False,complete,tune_trial1,2019,0,regen-v2,637c6b535a9e,84a6d05,local,18.8794157680462,18.878160079393282,1157.9059287356647,9.91697863688067
5760,-10.023118627977121,21.97070906900263,31.99382769697975,8.682740797908595,2.845146986266543,20.465939912804615,892560.055928232,96.47489775453995,68.21979970934872,9.483823287555143,97.76041666666667,129,238.01322031021118,99.09722222222223,52,7233.7930908203125,64.18402777777777,2063,4358.343109130859,2244,2968.4583926808828,2352.4068864217884,2107.516285372595,870.3114759117555,0,5760,1.0,False,False,complete,tune_trial2,2018,0,regen-v2,637c6b535a9e,84a6d05,local,21.198308621298146,19.597757321307157,1017.3113094534998,19.152281105870177
5760,-11.92084019456024,22.879345735721657,34.8001859302819,8.446447479301893,3.1076710693079894,23.246067381672013,929473.4205136922,93.8494164366877,77.48689127224004,10.358903564359965,97.01388888888889,172,284.75493240356445,99.34027777777777,38,3546.453125,62.53472222222223,2158,4662.7117919921875,2368,2887.6743509993557,2671.961767937268,2301.97857025713,894.1418838055216,0,5760,1.0,False,False,complete,tune_trial2,2019,0,regen-v2,637c6b535a9e,84a6d05,local,21.198308621298146,19.597757321307157,1017.3113094534998,19.152281105870177
5760,-8.342167155201833,21.50377246797535,29.845939623177184,8.594131290724937,3.174337467206005,18.07747086524624,873590.7565114986,95.49034767472152,60.25823621748747,10.581124890686684,98.15972222222223,106,200.17822456359863,98.78472222222221,70,11543.526611328125,64.82638888888889,2026,4283.983997344971,2202,2938.164543075102,2077.8702143665214,2351.3610868361857,871.2141311053567,0,5760,1.0,False,False,complete,tune_trial3,2018,0,regen-v2,637c6b535a9e,84a6d05,local,20.88881361328163,19.80972150447802,1180.1853912382574,16.324632192051602
5760,-9.477021539944054,21.858263101997615,31.33528464194167,8.446052424895704,3.451462342009249,19.43776987503671,887991.938518653,93.8450269432856,64.79256625012238,11.504874473364165,97.22222222222221,160,244.77396392822266,97.96875,117,9071.951538085938,64.84375,2025,4463.155918121338,2302,2887.539289631115,2234.226422675451,2556.638770330156,887.9233926164034,0,5760,1.0,False,False,complete,tune_trial3,2019,0,regen-v2,637c6b535a9e,84a6d05,local,20.88881361328163,19.80972150447802,1180.1853912382574,16.324632192051602
5760,-2.2306569024972127,18.649562446169647,20.880219348666856,8.318161251259149,2.2872229846780403,10.274835112729669,757638.4743756418,92.42401390287944,34.24945037576556,7.624076615593468,95.79861111111111,242,299.4124507904053,99.77430555555556,13,563.2216796875,59.30555555555556,2344,4345.260719299316,2599,2843.815811360472,1181.015530230206,1694.239248212901,757.0296748916514,0,5760,1.0,False,False,complete,tune_trial4,2018,0,regen-v2,637c6b535a9e,84a6d05,local,22.593653695572844,16.323416591228973,928.6731925329552,10.02059831125768
5760,-2.2829574929035075,18.708977054132582,20.99193454703609,7.9562673023388735,2.3359214160862365,10.69974582861098,760052.1928241362,88.40297002598749,35.66581942870327,7.786404720287456,96.26736111111111,215,234.92752933502197,100.0,0,0.0,58.92361111111111,2366,4412.310111999512,2581,2720.091385423594,1229.8558423792738,1730.3121607908017,731.1397927313675,0,5760,1.0,False,False,complete,tune_trial4,2019,0,regen-v2,637c6b535a9e,84a6d05,local,22.593653695572844,16.323416591228973,928.6731925329552,10.02059831125768
