metric_scope,horizon,state,rmse,mae,r2,failed_rollouts,attempted_rollouts,block,condition,recipe,seed,test_year,xi_uboil,rng_seed,traj_steps,regen_id,config_hash,git_sha,image
one_step,1,t_in,1.821449784991333,1.4204004875202683,0.8340053166958596,,,replay,replay_confirmatory,confirmatory,0,2020,0.0,418524381,5760,regen-v2,637c6b535a9e,dcd5d8f,local
one_step,1,co2,106.54171640489915,83.52347815992113,0.6373803351736165,,,replay,replay_confirmatory,confirmatory,0,2020,0.0,418524381,5760,regen-v2,637c6b535a9e,dcd5d8f,local
one_step,1,rh,6.42241591035656,4.635853138648291,0.6651901141806917,,,replay,replay_confirmatory,confirmatory,0,2020,0.0,418524381,5760,regen-v2,637c6b535a9e,dcd5d8f,local
rollout,4,t_in,2.218255766875826,1.868969265796185,,0.0,20.0,replay,replay_confirmatory,confirmatory,0,2020,0.0,418524381,5760,regen-v2,637c6b535a9e,dcd5d8f,local
rollout,4,co2,148.5328887215142,119.15882438006886,,0.0,20.0,replay,replay_confirmatory,confirmatory,0,2020,0.0,418524381,5760,regen-v2,637c6b535a9e,dcd5d8f,local
rollout,4,rh,7.612574852189747,6.36434536610308,,0.0,20.0,replay,replay_confirmatory,confirmatory,0,2020,0.0,418524381,5760,regen-v2,637c6b535a9e,dcd5d8f,local
rollout,20,t_in,2.397642476300743,2.003390919352703,,0.0,20.0,replay,replay_confirmatory,confirmatory,0,2020,0.0,418524381,5760,regen-v2,637c6b535a9e,dcd5d8f,local
rollout,20,co2,349.09265336455974,284.3702484833594,,0.0,20.0,replay,replay_confirmatory,confirmatory,0,2020,0.0,418524381,5760,regen-v2,637c6b535a9e,dcd5d8f,local
rollout,20,rh,8.832374485987986,7.30584981018885,,0.0,20.0,replay,replay_confirmatory,confirmatory,0,2020,0.0,418524381,5760,regen-v2,637c6b535a9e,dcd5d8f,local
rollout,96,t_in,2.4393028368484786,2.0084128526271656,,0.0,20.0,replay,replay_confirmatory,confirmatory,0,2020,0.0,418524381,5760,regen-v2,637c6b535a9e,dcd5d8f,local
rollout,96,co2,476.5600102207789,386.095813571255,,0.0,20.0,replay,replay_confirmatory,confirmatory,0,2020,0.0,418524381,5760,regen-v2,637c6b535a9e,dcd5d8f,local
rollout,96,rh,9.192487973272002,7.281189708847114,,0.0,20.0,replay,replay_confirmatory,confirmatory,0,2020,0.0,418524381,5760,regen-v2,637c6b535a9e,dcd5d8f,local
one_step,1,t_in,1.8124626327527102,1.4216385623257393,0.8356393327796467,,,replay,replay_lowthr,lowthr,0,2020,0.03973538086311972,4124342315,5760,regen-v2,637c6b535a9e,dcd5d8f,local
one_step,1,co2,100.0547078845155,80.80192092454627,0.6801936883027002,,,replay,replay_lowthr,lowthr,0,2020,0.03973538086311972,4124342315,5760,regen-v2,637c6b535a9e,dcd5d8f,local
one_step,1,rh,6.345490298615211,4.598207451785241,0.6731625689086624,,,replay,replay_lowthr,lowthr,0,2020,0.03973538086311972,4124342315,5760,regen-v2,637c6b535a9e,dcd5d8f,local
rollout,4,t_in,2.3917746658441215,1.999890883208526,,0.0,20.0,replay,replay_lowthr,lowthr,0,2020,0.03973538086311972,4124342315,5760,regen-v2,637c6b535a9e,dcd5d8f,local
rollout,4,co2,148.4261382059096,123.52371881865938,,0.0,20.0,replay,replay_lowthr,lowthr,0,2020,0.03973538086311972,4124342315,5760,regen-v2,637c6b535a9e,dcd5d8f,local
rollout,4,rh,7.500277718969565,6.258443934696615,,0.0,20.0,replay,replay_lowthr,lowthr,0,2020,0.03973538086311972,4124342315,5760,regen-v2,637c6b535a9e,dcd5d8f,local
rollout,20,t_in,2.5285089392824784,2.099363784838842,,0.0,20.0,replay,replay_lowthr,lowthr,0,2020,0.03973538086311972,4124342315,5760,regen-v2,637c6b535a9e,dcd5d8f,local
rollout,20,co2,339.8874081341422,279.1481699885454,,0.0,20.0,replay,replay_lowthr,lowthr,0,2020,0.03973538086311972,4124342315,5760,regen-v2,637c6b535a9e,dcd5d8f,local
rollout,20,rh,8.176424949551036,6.672129831559362,,0.0,20.0,replay,replay_lowthr,lowthr,0,2020,0.03973538086311972,4124342315,5760,regen-v2,637c6b535a9e,dcd5d8f,local
rollout,96,t_in,2.512156611912129,2.056837136577547,,0.0,20.0,replay,replay_lowthr,lowthr,0,2020,0.03973538086311972,4124342315,5760,regen-v2,637c6b535a9e,dcd5d8f,local
rollout,96,co2,473.65569066537455,390.16091695541473,,0.0,20.0,replay,replay_lowthr,lowthr,0,2020,0.03973538086311972,4124342315,5760,regen-v2,637c6b535a9e,dcd5d8f,local
rollout,96,rh,8.519614085722303,6.687631106222964,,0.0,20.0,replay,replay_lowthr,lowthr,0,2020,0.03973538086311972,4124342315,5760,regen-v2,637c6b535a9e,dcd5d8f,local
